name,age,ticket
"McCrie, Mr. James Matthew",30.0,233478
"McKane, Mr. Peter David",46.0,28403
"Mellinger, Miss. Madeleine Violet",13.0,250644
"Mellinger, Mrs. (Elizabeth Anne Maidment)",41.0,250644
"Mellors, Mr. William John",19.0,SW/PP 751
"Meyer, Mr. August",39.0,248723
"Milling, Mr. Jacob Christian",48.0,234360
"Mitchell, Mr. Henry Michael",70.0,C.A. 24580
"Montvila, Rev. Juozas",27.0,211536
"Moraweck, Dr. Ernest",54.0,29011
"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",39.0,250655
"Mudd, Mr. Thomas Charles",16.0,S.O./P.P. 3
"Myles, Mr. Thomas Francis",62.0,240276
"Nasser, Mr. Nicholas",32.5,237736
"Nasser, Mrs. Nicholas (Adele Achem)",14.0,237736
"Navratil, Master. Edmond Roger",2.0,230080
"Navratil, Master. Michel M",3.0,230080
"Navratil, Mr. Michel (""Louis M Hoffman"")",36.5,230080
"Nesson, Mr. Israel",26.0,244368
"Nicholls, Mr. Joseph Charles",19.0,C.A. 33112
"Norman, Mr. Robert Douglas",28.0,218629
"Nourney, Mr. Alfred (""Baron von Drachstedt"")",20.0,SC/PARIS 2166
"Nye, Mrs. (Elizabeth Ramell)",29.0,C.A. 29395
"Otter, Mr. Richard",39.0,28213
"Oxenham, Mr. Percy Thomas",22.0,W./C. 14260
"Padro y Manent, Mr. Julian",,SC/PARIS 2146
"Pain, Dr. Alfred",23.0,244278
"Pallas y Castello, Mr. Emilio",29.0,SC/PARIS 2147
"Parker, Mr. Clifford Richard",28.0,SC 14888
"Parkes, Mr. Francis ""Frank""",,239853
"Parrish, Mrs. (Lutie Davis)",50.0,230433
"Pengelly, Mr. Frederick William",19.0,28665
"Pernot, Mr. Rene",,SC/PARIS 2131
"Peruschitz, Rev. Joseph Maria",41.0,237393
"Phillips, Miss. Alice Frances Louisa",21.0,S.O./P.P. 2
"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",19.0,250655
"Phillips, Mr. Escott Robert",43.0,S.O./P.P. 2
"Pinsky, Mrs. (Rosa)",32.0,234604
"Ponesell, Mr. Martin",34.0,250647
"Portaluppi, Mr. Emilio Ilario Giuseppe",30.0,C.A. 34644
"Pulbaum, Mr. Franz",27.0,SC/PARIS 2168
"Quick, Miss. Phyllis May",2.0,26360
"Quick, Miss. Winifred Vera",8.0,26360
"Quick, Mrs. Frederick Charles (Jane Richards)",33.0,26360
"Reeves, Mr. David",36.0,C.A. 17248
"Renouf, Mr. Peter Henry",34.0,31027
"Renouf, Mrs. Peter Henry (Lillian Jefferys)",30.0,31027
"Reynaldo, Ms. Encarnacion",28.0,230434
"Richard, Mr. Emile",23.0,SC/PARIS 2133
"Richards, Master. George Sibley",0.8333,29106
"Richards, Master. William Rowe",3.0,29106
"Richards, Mrs. Sidney (Emily Hocking)",24.0,29106
"Ridsdale, Miss. Lucy",50.0,W./C. 14258
"Rogers, Mr. Reginald Harry",19.0,28004
"Rugg, Miss. Emily",21.0,C.A. 31026
"Schmidt, Mr. August",26.0,248659
"Sedgwick, Mr. Charles Frederick Waddington",25.0,244361
"Sharp, Mr. Percival James R",27.0,244358
"Shelley, Mrs. William (Imanita Parrish Hall)",25.0,230433
"Silven, Miss. Lyyli Karoliina",18.0,250652
"Sincock, Miss. Maude",20.0,C.A. 33112
"Sinkkonen, Miss. Anna",30.0,250648
"Sjostedt, Mr. Ernst Adolf",59.0,237442
"Slayter, Miss. Hilda Mary",30.0,234818
"Slemen, Mr. Richard James",35.0,28206
"Smith, Miss. Marion Elsie",40.0,31418
"Sobey, Mr. Samuel James Hayden",25.0,C.A. 29178
"Stanton, Mr. Samuel Ward",41.0,237734
"Stokes, Mr. Philip Joseph",25.0,F.C.C. 13540
"Swane, Mr. George",18.5,248734
"Sweet, Mr. George Frederick",14.0,220845
"Toomey, Miss. Ellen",50.0,F.C.C. 13531
"Troupiansky, Mr. Moses Aaron",23.0,233639
"Trout, Mrs. William H (Jessie L)",28.0,240929
"Troutt, Miss. Edwina Celia ""Winnie""",27.0,34218
"Turpin, Mr. William John Robert",29.0,11668
"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",27.0,11668
"Veal, Mr. James",40.0,28221
"Walcroft, Miss. Nellie",31.0,F.C.C. 13528
"Ware, Mr. John James",30.0,CA 31352
"Ware, Mr. William Jeffery",23.0,28666
"Ware, Mrs. John James (Florence Louise Long)",31.0,CA 31352
"Watson, Mr. Ennis Hastings",,239856
"Watt, Miss. Bertha J",12.0,C.A. 33595
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",40.0,C.A. 33595
"Webber, Miss. Susan",32.5,27267
"Weisz, Mr. Leopold",27.0,228414
"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",29.0,228414
"Wells, Master. Ralph Lester",2.0,29103
"Wells, Miss. Joan",4.0,29103
"Wells, Mrs. Arthur Henry (""Addie"" Dart Trevaskis)",29.0,29103
"West, Miss. Barbara J",0.9167,C.A. 34651
"West, Miss. Constance Mirium",5.0,C.A. 34651
"West, Mr. Edwy Arthur",36.0,C.A. 34651
"West, Mrs. Edwy Arthur (Ada Mary Worth)",33.0,C.A. 34651
"Wheadon, Mr. Edward H",66.0,C.A. 24579
"Wheeler, Mr. Edwin ""Frederick""",,SC/PARIS 2159
"Wilhelms, Mr. Charles",31.0,244270
"Williams, Mr. Charles Eugene",,244373
"Wright, Miss. Marion",26.0,220844
"Yrois, Miss. Henriette (""Mrs Harbeck"")",24.0,248747
"Abbing, Mr. Anthony",42.0,C.A. 5547
"Abbott, Master. Eugene Joseph",13.0,C.A. 2673
"Abbott, Mr. Rossmore Edward",16.0,C.A. 2673
"Abbott, Mrs. Stanton (Rosa Hunt)",35.0,C.A. 2673
"Abelseth, Miss. Karen Marie",16.0,348125
"Abelseth, Mr. Olaus Jorgensen",25.0,348122
"Abrahamsson, Mr. Abraham August Johannes",20.0,SOTON/O2 3101284
"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",18.0,2657
"Adahl, Mr. Mauritz Nils Martin",30.0,C 7076
"Adams, Mr. John",26.0,341826
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",40.0,7546
"Aks, Master. Philip Frank",0.8333,392091
"Aks, Mrs. Sam (Leah Rosen)",18.0,392091
"Albimona, Mr. Nassef Cassem",26.0,2699
"Alexander, Mr. William",26.0,3474
"Alhomaki, Mr. Ilmari Rudolf",20.0,SOTON/O2 3101287
"Ali, Mr. Ahmed",24.0,SOTON/O.Q. 3101311
"Ali, Mr. William",25.0,SOTON/O.Q. 3101312
"Allen, Mr. William Henry",35.0,373450
"Allum, Mr. Owen George",18.0,2223
"Andersen, Mr. Albert Karvin",32.0,C 4001
"Andersen-Jensen, Miss. Carla Christine Nielsine",19.0,350046
"Andersson, Master. Sigvard Harald Elias",4.0,347082
"Andersson, Miss. Ebba Iris Alfrida",6.0,347082
"Andersson, Miss. Ellis Anna Maria",2.0,347082
"Andersson, Miss. Erna Alexandra",17.0,3101281
"Andersson, Miss. Ida Augusta Margareta",38.0,347091
"Andersson, Miss. Ingeborg Constanzia",9.0,347082
"Andersson, Miss. Sigrid Elisabeth",11.0,347082
"Andersson, Mr. Anders Johan",39.0,347082
"Andersson, Mr. August Edvard (""Wennerstrom"")",27.0,350043
"Andersson, Mr. Johan Samuel",26.0,347075
"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",39.0,347082
"Andreasson, Mr. Paul Edvin",20.0,347466
"Angheloff, Mr. Minko",26.0,349202
"Arnold-Franchi, Mr. Josef",25.0,349237
"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18.0,349237
"Aronsson, Mr. Ernst Axel Algot",24.0,349911
"Asim, Mr. Adola",35.0,SOTON/O.Q. 3101310
"Asplund, Master. Carl Edgar",5.0,347077
"Asplund, Master. Clarence Gustaf Hugo",9.0,347077
"Asplund, Master. Edvin Rojj Felix",3.0,347077
"Asplund, Master. Filip Oscar",13.0,347077
"Asplund, Miss. Lillian Gertrud",5.0,347077
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",40.0,347077
"Asplund, Mr. Johan Charles",23.0,350054
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38.0,347077
"Assaf Khalil, Mrs. Mariana (""Miriam"")",45.0,2696
"Assaf, Mr. Gerios",21.0,2692
"Assam, Mr. Ali",23.0,SOTON/O.Q. 3101309
"Attalah, Miss. Malake",17.0,2627
"Attalah, Mr. Sleiman",30.0,2694
"Augustsson, Mr. Albert",23.0,347468
"Ayoub, Miss. Banoura",13.0,2687
"Baccos, Mr. Raffull",20.0,2679
"Backstrom, Mr. Karl Alfred",32.0,3101278
"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33.0,3101278
"Baclini, Miss. Eugenie",0.75,2666
"Baclini, Miss. Helene Barbara",0.75,2666
"Baclini, Miss. Marie Catherine",5.0,2666
"Baclini, Mrs. Solomon (Latifa Qurban)",24.0,2666
"Badman, Miss. Emily Louisa",18.0,A/4 31416
"Badt, Mr. Mohamed",40.0,2623
"Balkic, Mr. Cerin",26.0,349248
"Barah, Mr. Hanna Assi",20.0,2663
"Barbara, Miss. Saiide",18.0,2691
"Barbara, Mrs. (Catherine David)",45.0,2691
"Barry, Miss. Julia",27.0,330844
"Barton, Mr. David John",22.0,324669
"Beavan, Mr. William Thomas",19.0,323951
"Bengtsson, Mr. John Viktor",26.0,347068
"Berglund, Mr. Karl Ivar Sven",22.0,PP 4348
"Betros, Master. Seman",,2622
"Betros, Mr. Tannous",20.0,2648
"Bing, Mr. Lee",32.0,1601
"Birkeland, Mr. Hans Martin Monsen",21.0,312992
"Bjorklund, Mr. Ernst Herbert",18.0,347090
"Bostandyeff, Mr. Guentcho",26.0,349224
"Boulos, Master. Akar",6.0,2678
"Boulos, Miss. Nourelain",9.0,2678
"Boulos, Mr. Hanna",,2664
"Boulos, Mrs. Joseph (Sultana)",,2678
"Bourke, Miss. Mary",,364848
"Bourke, Mr. John",40.0,364849
"Bourke, Mrs. John (Catherine)",32.0,364849
"Bowen, Mr. David John ""Dai""",21.0,54636
"Bradley, Miss. Bridget Delia",22.0,334914
"Braf, Miss. Elin Ester Maria",20.0,347471
"Braund, Mr. Lewis Richard",29.0,3460
"Braund, Mr. Owen Harris",22.0,A/5 21171
"Brobeck, Mr. Karl Rudolf",22.0,350045
"Brocklebank, Mr. William Alfred",35.0,364512
"Buckley, Miss. Katherine",18.5,329944
"Buckley, Mr. Daniel",21.0,330920
"Burke, Mr. Jeremiah",19.0,365222
"Burns, Miss. Mary Delia",18.0,330963
"Cacic, Miss. Manda",21.0,315087
"Cacic, Miss. Marija",30.0,315084
"Cacic, Mr. Jego Grga",18.0,315091
"Cacic, Mr. Luka",38.0,315089
"Calic, Mr. Jovo",17.0,315093
"Calic, Mr. Petar",17.0,315086
"Canavan, Miss. Mary",21.0,364846
"Canavan, Mr. Patrick",21.0,364858
"Cann, Mr. Ernest Charles",21.0,A./5. 2152
"Caram, Mr. Joseph",,2689
"Caram, Mrs. Joseph (Maria Elias)",,2689
"Carlsson, Mr. August Sigfrid",28.0,350042
"Carlsson, Mr. Carl Robert",24.0,350409
"Carr, Miss. Helen ""Ellen""",16.0,367231
"Carr, Miss. Jeannie",37.0,368364
"Carver, Mr. Alfred John",28.0,392095
"Celotti, Mr. Francesco",24.0,343275
"Charters, Mr. David",21.0,A/5. 13032
"Chip, Mr. Chang",32.0,1601
"Christmann, Mr. Emil",29.0,343276
"Chronopoulos, Mr. Apostolos",26.0,2680
"Chronopoulos, Mr. Demetrios",18.0,2680
"Coelho, Mr. Domingos Fernandeo",20.0,SOTON/O.Q. 3101307
"Cohen, Mr. Gurshon ""Gus""",18.0,A/5 3540
"Colbert, Mr. Patrick",24.0,371109
"Coleff, Mr. Peju",36.0,349210
"Coleff, Mr. Satio",24.0,349209
"Conlon, Mr. Thomas Henry",31.0,21332
"Connaghton, Mr. Michael",31.0,335097
"Connolly, Miss. Kate",22.0,370373
"Connolly, Miss. Kate",30.0,330972
"Connors, Mr. Patrick",70.5,370369
"Cook, Mr. Jacob",43.0,A/5 3536
"Cor, Mr. Bartol",35.0,349230
"Cor, Mr. Ivan",27.0,349229
"Cor, Mr. Liudevit",19.0,349231
"Corn, Mr. Harry",30.0,SOTON/OQ 392090
"Coutts, Master. Eden Leslie ""Neville""",9.0,C.A. 37671
"Coutts, Master. William Loch ""William""",3.0,C.A. 37671
"Coutts, Mrs. William (Winnie ""Minnie"" Treanor)",36.0,C.A. 37671
"Coxon, Mr. Daniel",59.0,364500
"Crease, Mr. Ernest James",19.0,S.P. 3464
"Cribb, Miss. Laura Alice",17.0,371362
"Cribb, Mr. John Hatfield",44.0,371362
"Culumovic, Mr. Jeso",17.0,315090
"Daher, Mr. Shedid",22.5,2698
"Dahl, Mr. Karl Edwart",45.0,7598
"Dahlberg, Miss. Gerda Ulrika",22.0,7552
"Dakic, Mr. Branko",19.0,349228
"Daly, Miss. Margaret Marcella ""Maggie""",30.0,382650
"Daly, Mr. Eugene Patrick",29.0,382651
"Danbom, Master. Gilbert Sigvard Emanuel",0.3333,347080
"Danbom, Mr. Ernst Gilbert",34.0,347080
"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",28.0,347080
"Danoff, Mr. Yoto",27.0,349219
"Dantcheff, Mr. Ristiu",25.0,349203
"Davies, Mr. Alfred J",24.0,A/4 48871
"Davies, Mr. Evan",22.0,SC/A4 23568
"Davies, Mr. John Samuel",21.0,A/4 48871
"Davies, Mr. Joseph",17.0,A/4 48873
"Davison, Mr. Thomas Henry",,386525
"Davison, Mrs. Thomas Henry (Mary E Finck)",,386525
"de Messemaeker, Mr. Guillaume Joseph",36.5,345572
"de Messemaeker, Mrs. Guillaume Joseph (Emma)",36.0,345572
"de Mulder, Mr. Theodore",30.0,345774
"de Pelsmaeker, Mr. Alfons",16.0,345778
"Dean, Master. Bertram Vere",1.0,C.A. 2315
"Dean, Miss. Elizabeth Gladys ""Millvina""",0.1667,C.A. 2315
"Dean, Mr. Bertram Frank",26.0,C.A. 2315
"Dean, Mrs. Bertram (Eva Georgetta Light)",33.0,C.A. 2315
"Delalic, Mr. Redjo",25.0,349250
"Demetri, Mr. Marinko",,349238
"Denkoff, Mr. Mitto",,349225
"Dennis, Mr. Samuel",22.0,A/5 21172
"Dennis, Mr. William",36.0,A/5 21175
"Devaney, Miss. Margaret Delia",19.0,330958
"Dika, Mr. Mirko",17.0,349232
"Dimic, Mr. Jovan",42.0,315088
"Dintcheff, Mr. Valtcho",43.0,349226
"Doharr, Mr. Tannous",,2686
"Dooley, Mr. Patrick",32.0,370376
"Dorking, Mr. Edward Arthur",19.0,A/5. 10482
"Dowdell, Miss. Elizabeth",30.0,364516
"Doyle, Miss. Elizabeth",24.0,368702
"Drapkin, Miss. Jennie",23.0,SOTON/OQ 392083
"Drazenoic, Mr. Jozef",33.0,349241
"Duane, Mr. Frank",65.0,336439
"Duquemin, Mr. Joseph",24.0,S.O./P.P. 752
"Dyker, Mr. Adolf Fredrik",23.0,347072
"Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)",22.0,347072
"Edvardsson, Mr. Gustaf Hjalmar",18.0,349912
"Eklund, Mr. Hans Linus",16.0,347074
"Ekstrom, Mr. Johan",45.0,347061
"Elias, Mr. Dibo",,2674
"Elias, Mr. Joseph",39.0,2675
"Elias, Mr. Joseph Jr",17.0,2690
"Elias, Mr. Tannous",15.0,2695
"Elsbury, Mr. William James",47.0,A/5 3902
"Emanuel, Miss. Virginia Ethel",5.0,364516
"Emir, Mr. Farred Chehab",,2631
"Everett, Mr. Thomas James",40.5,C.A. 6212
"Farrell, Mr. James",40.5,367232
"Finoli, Mr. Luigi",,SOTON/O.Q. 3101308
"Fischer, Mr. Eberhard Thelander",18.0,350036
"Fleming, Miss. Honora",,364859
"Flynn, Mr. James",,364851
"Flynn, Mr. John",,368323
"Foley, Mr. Joseph",26.0,330910
"Foley, Mr. William",,365235
"Foo, Mr. Choong",,1601
"Ford, Miss. Doolina Margaret ""Daisy""",21.0,W./C. 6608
"Ford, Miss. Robina Maggie ""Ruby""",9.0,W./C. 6608
"Ford, Mr. Arthur",,A/5 1478
"Ford, Mr. Edward Watson",18.0,W./C. 6608
"Ford, Mr. William Neal",16.0,W./C. 6608
"Ford, Mrs. Edward (Margaret Ann Watson)",48.0,W./C. 6608
"Fox, Mr. Patrick",,368573
"Franklin, Mr. Charles (Charles Fardon)",,SOTON/O.Q. 3101314
"Gallagher, Mr. Martin",25.0,36864
"Garfirth, Mr. John",,358585
"Gheorgheff, Mr. Stanio",,349254
"Gilinski, Mr. Eliezer",22.0,14973
"Gilnagh, Miss. Katherine ""Katie""",16.0,35851
"Glynn, Miss. Mary Agatha",,335677
"Goldsmith, Master. Frank John William ""Frankie""",9.0,363291
"Goldsmith, Mr. Frank John",33.0,363291
"Goldsmith, Mr. Nathan",41.0,SOTON/O.Q. 3101263
"Goldsmith, Mrs. Frank John (Emily Alice Brown)",31.0,363291
"Goncalves, Mr. Manuel Estanslas",38.0,SOTON/O.Q. 3101306
"Goodwin, Master. Harold Victor",9.0,CA 2144
"Goodwin, Master. Sidney Leonard",1.0,CA 2144
"Goodwin, Master. William Frederick",11.0,CA 2144
"Goodwin, Miss. Jessie Allis",10.0,CA 2144
"Goodwin, Miss. Lillian Amy",16.0,CA 2144
"Goodwin, Mr. Charles Edward",14.0,CA 2144
"Goodwin, Mr. Charles Frederick",40.0,CA 2144
"Goodwin, Mrs. Frederick (Augusta Tyler)",43.0,CA 2144
"Green, Mr. George Henry",51.0,21440
"Gronnestad, Mr. Daniel Danielsen",32.0,8471
"Guest, Mr. Robert",,376563
"Gustafsson, Mr. Alfred Ossian",20.0,7534
"Gustafsson, Mr. Anders Vilhelm",37.0,3101276
"Gustafsson, Mr. Johan Birger",28.0,3101277
"Gustafsson, Mr. Karl Gideon",19.0,347069
"Haas, Miss. Aloisia",24.0,349236
"Hagardon, Miss. Kate",17.0,AQ/3. 30631
"Hagland, Mr. Ingvald Olai Olsen",,65303
"Hagland, Mr. Konrad Mathias Reiersen",,65304
"Hakkarainen, Mr. Pekka Pietari",28.0,STON/O2. 3101279
"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",24.0,STON/O2. 3101279
"Hampe, Mr. Leon",20.0,345769
"Hanna, Mr. Mansour",23.5,2693
"Hansen, Mr. Claus Peter",41.0,350026
"Hansen, Mr. Henrik Juul",26.0,350025
"Hansen, Mr. Henry Damsgaard",21.0,350029
"Hansen, Mrs. Claus Peter (Jennie L Howard)",45.0,350026
"Harknett, Miss. Alice Phoebe",,W./C. 6609
"Harmer, Mr. Abraham (David Lishin)",25.0,374887
"Hart, Mr. Henry",,394140
"Hassan, Mr. Houssein G N",11.0,2699
"Healy, Miss. Hanora ""Nora""",,370375
"Hedman, Mr. Oskar Arvid",27.0,347089
"Hee, Mr. Ling",,1601
"Hegarty, Miss. Hanora ""Nora""",18.0,365226
"Heikkinen, Miss. Laina",26.0,STON/O2. 3101282
"Heininen, Miss. Wendla Maria",23.0,STON/O2. 3101290
"Hellstrom, Miss. Hilda Maria",22.0,7548
"Hendekovic, Mr. Ignjac",28.0,349243
"Henriksson, Miss. Jenny Lovisa",28.0,347086
"Henry, Miss. Delia",,382649
"Hirvonen, Miss. Hildur E",2.0,3101298
"Hirvonen, Mrs. Alexander (Helga E Lindqvist)",22.0,3101298
"Holm, Mr. John Fredrik Alexander",43.0,C 7075
"Holthen, Mr. Johan Martin",28.0,C 4001
"Honkanen, Miss. Eliina",27.0,STON/O2. 3101283
"Horgan, Mr. John",,370377
"Howard, Miss. May Elizabeth",,A. 2. 39186
"Humblen, Mr. Adolf Mathias Nicolai Olsen",42.0,348121
"Hyman, Mr. Abraham",,3470
"Ibrahim Shawah, Mr. Yousseff",30.0,2685
"Ilieff, Mr. Ylio",,349220
"Ilmakangas, Miss. Ida Livija",27.0,STON/O2. 3101270
"Ilmakangas, Miss. Pieta Sofia",25.0,STON/O2. 3101271
"Ivanoff, Mr. Kanio",,349201
"Jalsevac, Mr. Ivan",29.0,349240
"Jansson, Mr. Carl Olof",21.0,350034
"Jardin, Mr. Jose Neto",,SOTON/O.Q. 3101305
"Jensen, Mr. Hans Peder",20.0,350050
"Jensen, Mr. Niels Peder",48.0,350047
"Jensen, Mr. Svend Lauritz",17.0,350048
"Jermyn, Miss. Annie",,14313
"Johannesen-Bratthammer, Mr. Bernt",,65306
"Johanson, Mr. Jakob Alfred",34.0,3101264
"Johansson Palmquist, Mr. Oskar Leander",26.0,347070
"Johansson, Mr. Erik",22.0,350052
"Johansson, Mr. Gustaf Joel",33.0,7540
"Johansson, Mr. Karl Johan",31.0,347063
"Johansson, Mr. Nils",29.0,347467
"Johnson, Master. Harold Theodor",4.0,347742
"Johnson, Miss. Eleanor Ileen",1.0,347742
"Johnson, Mr. Alfred",49.0,LINE
"Johnson, Mr. Malkolm Joackim",33.0,347062
"Johnson, Mr. William Cahoone Jr",19.0,LINE
"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",27.0,347742
"Johnston, Master. William Arthur ""Willie""",,W./C. 6607
"Johnston, Miss. Catherine Helen ""Carrie""",,W./C. 6607
"Johnston, Mr. Andrew G",,W./C. 6607
"Johnston, Mrs. Andrew G (Elizabeth ""Lily"" Watson)",,W./C. 6607
"Jonkoff, Mr. Lalio",23.0,349204
"Jonsson, Mr. Carl",32.0,350417
"Jonsson, Mr. Nils Hilding",27.0,350408
"Jussila, Miss. Katriina",20.0,4136
"Jussila, Miss. Mari Aina",21.0,4137
"Jussila, Mr. Eiriik",32.0,STON/O 2. 3101286
"Kallio, Mr. Nikolai Erland",17.0,STON/O 2. 3101274
"Kalvik, Mr. Johannes Halvorsen",21.0,8475
"Karaic, Mr. Milan",30.0,349246
"Karlsson, Mr. Einar Gervasius",21.0,350053
"Karlsson, Mr. Julius Konrad Eugen",33.0,347465
"Karlsson, Mr. Nils August",22.0,350060
"Karun, Miss. Manca",4.0,349256
"Karun, Mr. Franz",39.0,349256
"Kassem, Mr. Fared",,2700
"Katavelas, Mr. Vassilios (""Catavelas Vassilios"")",18.5,2682
"Keane, Mr. Andrew ""Andy""",,12460
"Keefe, Mr. Arthur",,323592
"Kelly, Miss. Anna Katherine ""Annie Kate""",,9234
"Kelly, Miss. Mary",,14312
"Kelly, Mr. James",34.5,330911
"Kelly, Mr. James",44.0,363592
"Kennedy, Mr. John",,368783
"Khalil, Mr. Betros",,2660
"Khalil, Mrs. Betros (Zahie ""Maria"" Elias)",,2660
"Kiernan, Mr. John",,367227
"Kiernan, Mr. Philip",,367229
"Kilgannon, Mr. Thomas J",,36865
"Kink, Miss. Maria",22.0,315152
"Kink, Mr. Vincenz",26.0,315151
"Kink-Heilmann, Miss. Luise Gretchen",4.0,315153
"Kink-Heilmann, Mr. Anton",29.0,315153
"Kink-Heilmann, Mrs. Anton (Luise Heilmann)",26.0,315153
"Klasen, Miss. Gertrud Emilia",1.0,350405
"Klasen, Mr. Klas Albin",18.0,350404
"Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)",36.0,350405
"Kraeff, Mr. Theodor",,349253
"Krekorian, Mr. Neshan",25.0,2654
"Lahoud, Mr. Sarkis",,2624
"Laitinen, Miss. Kristina Sofia",37.0,4135
"Laleff, Mr. Kristo",,349217
"Lam, Mr. Ali",,1601
"Lam, Mr. Len",,1601
"Landergren, Miss. Aurora Adelia",22.0,C 7077
"Lane, Mr. Patrick",,7935
"Lang, Mr. Fang",26.0,1601
"Larsson, Mr. August Viktor",29.0,7545
"Larsson, Mr. Bengt Edvin",29.0,347067
"Larsson-Rondberg, Mr. Edvard A",22.0,347065
"Leeni, Mr. Fahim (""Philip Zenni"")",22.0,2620
"Lefebre, Master. Henry Forbes",,4133
"Lefebre, Miss. Ida",,4133
"Lefebre, Miss. Jeannie",,4133
"Lefebre, Miss. Mathilde",,4133
"Lefebre, Mrs. Frank (Frances)",,4133
"Leinonen, Mr. Antti Gustaf",32.0,STON/O 2. 3101292
"Lemberopolous, Mr. Peter L",34.5,2683
"Lennon, Miss. Mary",,370371
"Lennon, Mr. Denis",,370371
"Leonard, Mr. Lionel",36.0,LINE
"Lester, Mr. James",39.0,A/4 48871
"Lievens, Mr. Rene Aime",24.0,345781
"Lindahl, Miss. Agda Thorilda Viktoria",25.0,347071
"Lindblom, Miss. Augusta Charlotta",45.0,347073
"Lindell, Mr. Edvard Bengtsson",36.0,349910
"Lindell, Mrs. Edvard Bengtsson (Elin Gerda Persson)",30.0,349910
"Lindqvist, Mr. Eino William",20.0,STON/O 2. 3101285
"Linehan, Mr. Michael",,330971
"Ling, Mr. Lee",28.0,1601
"Lithman, Mr. Simon",,S.O./P.P. 251
"Lobb, Mr. William Arthur",30.0,A/5. 3336
"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",26.0,A/5. 3336
"Lockyer, Mr. Edward",,1222
"Lovell, Mr. John Hall (""Henry"")",20.5,A/5 21173
"Lulic, Mr. Nikola",27.0,315098
"Lundahl, Mr. Johan Svensson",51.0,347743
"Lundin, Miss. Olga Elida",23.0,347469
"Lundstrom, Mr. Thure Edvin",32.0,350403
"Lyntakoff, Mr. Stanko",,349235
"MacKay, Mr. George William",,C.A. 42795
"Madigan, Miss. Margaret ""Maggie""",,370370
"Madsen, Mr. Fridtjof Arne",24.0,C 17369
"Maenpaa, Mr. Matti Alexanteri",22.0,STON/O 2. 3101275
"Mahon, Miss. Bridget Delia",,330924
"Mahon, Mr. John",,AQ/4 3130
"Maisner, Mr. Simon",,A/S 2816
"Makinen, Mr. Kalle Edvard",29.0,STON/O 2. 3101268
"Mamee, Mr. Hanna",,2677
"Mangan, Miss. Mary",30.5,364850
"Mannion, Miss. Margareth",,36866
"Mardirosian, Mr. Sarkis",,2655
"Markoff, Mr. Marin",35.0,349213
"Markun, Mr. Johann",33.0,349257
"Masselmani, Mrs. Fatima",,2649
"Matinoff, Mr. Nicola",,349255
"McCarthy, Miss. Catherine ""Katie""",,383123
"McCormack, Mr. Thomas Joseph",,367228
"McCoy, Miss. Agnes",,367226
"McCoy, Miss. Alicia",,367226
"McCoy, Mr. Bernard",,367226
"McDermott, Miss. Brigdet Delia",,330932
"McEvoy, Mr. Michael",,36568
"McGovern, Miss. Mary",,330931
"McGowan, Miss. Anna ""Annie""",15.0,330923
"McGowan, Miss. Katherine",35.0,9232
"McMahon, Mr. Martin",,370372
"McNamee, Mr. Neal",24.0,376566
"McNamee, Mrs. Neal (Eileen O'Leary)",19.0,376566
"McNeill, Miss. Bridget",,370368
"Meanwell, Miss. (Marion Ogden)",,SOTON/O.Q. 392087
"Meek, Mrs. Thomas (Annie Louise Rowley)",,343095
"Meo, Mr. Alfonzo",55.5,A.5. 11206
"Mernagh, Mr. Robert",,368703
"Midtsjo, Mr. Karl Albert",21.0,345501
"Miles, Mr. Frank",,359306
"Mineff, Mr. Ivan",24.0,349233
"Minkoff, Mr. Lazar",21.0,349211
"Mionoff, Mr. Stoytcho",28.0,349207
"Mitkoff, Mr. Mito",,349221
"Mockler, Miss. Helen Mary ""Ellie""",,330980
"Moen, Mr. Sigurd Hansen",25.0,348123
"Moor, Master. Meier",6.0,392096
"Moor, Mrs. (Beila)",27.0,392096
"Moore, Mr. Leonard Charles",,A4. 54510
"Moran, Miss. Bertha",,371110
"Moran, Mr. Daniel J",,371110
"Moran, Mr. James",,330877
"Morley, Mr. William",34.0,364506
"Morrow, Mr. Thomas Rowan",,372622
"Moss, Mr. Albert Johan",,312991
"Moubarek, Master. Gerios",,2661
